number;wrr,wer;micro precision;macro precision;micro recall;macro recall;micro f-score;macro f-score
1;0.875;0.125;0.875;0.8571428571428571;0.875;0.8571428571428571;0.875;0.8571428571428571
2;0.625;0.375;0.0;0.0;0.0;0.0;0;0
3;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0
4;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0
5;0.8571428571428571;0.14285714285714285;0.8571428571428571;0.8571428571428571;0.8571428571428571;0.8571428571428571;0.8571428571428571;0.8571428571428571
6;0.8571428571428571;0.14285714285714285;0.8571428571428571;0.8571428571428571;0.8571428571428571;0.8571428571428571;0.8571428571428571;0.8571428571428571
7;0.875;0.125;0.875;0.8571428571428571;0.875;0.8571428571428571;0.875;0.8571428571428571
8;0.875;0.125;0.875;0.875;0.875;0.875;0.875;0.875
9;0.8571428571428571;0.14285714285714285;0.8571428571428571;0.8571428571428571;0.8571428571428571;0.8571428571428571;0.8571428571428571;0.8571428571428571
10;0.875;0.125;0.875;0.875;0.875;0.875;0.875;0.875
11;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0
12;0.875;0.125;0.875;0.875;0.875;0.875;0.875;0.875
13;0.8;0.2;0.8;0.75;0.8;0.75;0.8000000000000002;0.75
14;0.8571428571428571;0.14285714285714285;0.8571428571428571;0.8571428571428571;0.8571428571428571;0.8571428571428571;0.8571428571428571;0.8571428571428571
15;0.875;0.125;0.875;0.875;0.875;0.875;0.875;0.875
16;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0
17;0.6666666666666666;0.3333333333333333;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.6666666666666666
18;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0
19;0.875;0.125;0.875;0.8571428571428571;0.875;0.8571428571428571;0.875;0.8571428571428571
20;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0
21;0.7777777777777778;0.2222222222222222;0.7777777777777778;0.75;0.7777777777777778;0.75;0.7777777777777778;0.75
22;0.8888888888888888;0.1111111111111111;0.8888888888888888;0.875;0.8888888888888888;0.875;0.8888888888888888;0.875
23;0.7;0.3;0.7;0.6666666666666666;0.7;0.6666666666666666;0.7;0.6666666666666666
24;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0
25;0.7777777777777778;0.2222222222222222;0.7777777777777778;0.7142857142857142;0.7777777777777778;0.7142857142857142;0.7777777777777778;0.7142857142857142
26;0.2857142857142857;0.7142857142857143;0.3333333333333333;0.3333333333333333;0.2857142857142857;0.2857142857142857;0.30769230769230765;0.30769230769230765
27;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0
28;0.5;0.5;0.5;0.42857142857142855;0.5;0.42857142857142855;0.5;0.42857142857142855
29;0.5;0.625;0.0;0.0;0.0;0.0;0;0
30;0.5;0.6666666666666666;0.14285714285714285;0.14285714285714285;0.16666666666666666;0.16666666666666666;0.15384615384615383;0.15384615384615383
31;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0
32;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0
33;0.875;0.125;0.875;0.8571428571428571;0.875;0.8571428571428571;0.875;0.8571428571428571
34;0.8571428571428571;0.14285714285714285;0.8571428571428571;0.8571428571428571;0.8571428571428571;0.8571428571428571;0.8571428571428571;0.8571428571428571
35;0.7142857142857143;0.42857142857142855;0.125;0.125;0.14285714285714285;0.14285714285714285;0.13333333333333333;0.13333333333333333
36;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0
37;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0
38;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0
39;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0
40;1.0;0.16666666666666666;0.14285714285714285;0.14285714285714285;0.16666666666666666;0.16666666666666666;0.15384615384615383;0.15384615384615383
41;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0
42;0.8888888888888888;0.1111111111111111;0.8888888888888888;0.875;0.8888888888888888;0.875;0.8888888888888888;0.875
43;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0
44;0.625;0.375;0.625;0.5714285714285714;0.625;0.5714285714285714;0.625;0.5714285714285714
45;0.875;0.125;0.875;0.8571428571428571;0.875;0.8571428571428571;0.875;0.8571428571428571
46;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0
47;0.5555555555555556;0.4444444444444444;0.5555555555555556;0.5555555555555556;0.5555555555555556;0.5625;0.5555555555555556;0.5590062111801242
48;0.5714285714285714;0.42857142857142855;0.16666666666666666;0.16666666666666666;0.14285714285714285;0.14285714285714285;0.15384615384615383;0.15384615384615383
49;0.7142857142857143;0.2857142857142857;0.8333333333333334;0.8;0.7142857142857143;0.6666666666666666;0.7692307692307692;0.7272727272727272
50;0.8;0.2;0.8;0.8;0.8;0.8;0.8000000000000002;0.8000000000000002
51;0.7142857142857143;0.2857142857142857;0.7142857142857143;0.6666666666666666;0.7142857142857143;0.6666666666666666;0.7142857142857143;0.6666666666666666
52;0.5;0.5;0.5;0.42857142857142855;0.5;0.42857142857142855;0.5;0.42857142857142855
53;0.6666666666666666;0.3333333333333333;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.6666666666666666
54;0.8888888888888888;0.1111111111111111;0.8888888888888888;0.875;0.8888888888888888;0.875;0.8888888888888888;0.875
55;0.5555555555555556;0.4444444444444444;0.5555555555555556;0.5;0.5555555555555556;0.5;0.5555555555555556;0.5
